%entailment_judgment	sentence_A	sentence_B	relatedness_score	pair_ID
ENTAILMENT	 ( Vegetables  ( are  ( being  (  ( put into_a_pot  )  ( by  ( a man  )  )  )  )  )  ) 	 ( Someone  ( is  (  ( pouring ingredients  ) into_a_pot  )  )  ) 	4	5938
NEUTRAL	 (  ( A  ( young boy  )  )  ( is  ( playing  ( a  ( wind instrument  )  )  )  )  ) 	 (  ( A kid  )  ( is  (  ( throwing away  )  ( an instrument  )  )  )  ) 	2.8	3174
NEUTRAL	 (  ( A man  ) is_leaning_on_the_ledge_of_a_balcony  ) 	 (  ( A woman  ) is_leaning_on_the_ledge_of_a_balcony  ) 	3.8	8832
NEUTRAL	 (  ( A motorcycle  )  ( is  ( riding  (  ( standing up  )  ( on  ( the_seat  ( of  ( the vehicle  )  )  )  )  )  )  )  ) 	 ( Someone  (  (  ( is  ( on  ( a  ( black  ( and  ( white motorcycle  )  )  )  )  )  ) and  )  ( is  ( standing  ( on the_seat  )  )  )  )  ) 	3.165	197
NEUTRAL	 (  ( A  ( practicing jumper  )  )  ( is  (  ( tossing  (  ( a  ( person 's  )  ) snowboard  )  )  ( into  ( the air  )  )  )  )  ) 	 (  ( Two people  )  ( are  ( riding  ( a bike  )  )  )  ) 	2	9822
NEUTRAL	 (  (  (  ( A person  )  ( is  ( looking  ( at  (  ( a bike  )  ( designed  ( for  ( motocross  ( that  ( is  ( lying  ( on  ( its side  )  )  )  )  )  )  )  )  )  )  )  )  ) and  )  ( another  ( is  ( racing by  )  )  )  ) 	 (  ( The  ( bike rider  )  )  ( is  ( looking  ( at  (  ( an accident  )  ( of  ( another  ( bike rider  )  )  )  )  )  )  )  ) 	3.1	7590
NEUTRAL	 ( There  ( is  (  ( no football_player  )  ( in  (  ( a  ( purple jersey  )  )  ( running  ( with  (  ( the ball  )  ( for  ( a touchdown  )  )  )  )  )  )  )  )  )  ) 	 (  ( A football_player  )  ( is  ( running  ( past  (  ( an official  )  ( carrying  ( a football  )  )  )  )  )  )  ) 	3.3	7541
CONTRADICTION	 ( A_toy_train  ( is  ( striking a_toy_car  )  )  ) 	 ( A_toy_train  ( is  ( missing a_toy_car  )  )  ) 	3.8	3711
NEUTRAL	 (  ( A toddler  )  ( is  ( making  (  ( a splash  )  ( inside  ( a  ( blue  ( paddling pool  )  )  )  )  )  )  )  ) 	 (  ( The child  )  ( is  ( splashing  ( water  ( in  ( a  ( big  ( red pool  )  )  )  )  )  )  )  ) 	3.1	8548
NEUTRAL	 ( A_woman  ( is  ( refrigerating a_potato  )  )  ) 	 ( A_woman  ( is  ( peeling a_potato  )  )  ) 	3.7	3982
ENTAILMENT	 (  ( The horse  )  ( is  ( being  ( ridden  ( by  ( a man  )  )  )  )  )  ) 	 (  ( A man  )  ( is  ( riding  ( the horse  )  )  )  ) 	5	2001
NEUTRAL	 (  ( The man  )  (  ( is not  )  ( doing exercises  )  )  ) 	 (  ( Two men  )  ( are fighting  )  ) 	2.3	5930
NEUTRAL	 (  ( The  ( little boy  )  )  ( is  (  (  ( sticking his_tongue  ) out  )  ( for  (  ( the_camera_and  ( another boy  )  )  ( is  ( looking on  )  )  )  )  )  )  ) 	 (  (  ( Two  ( young boys  )  )  ( are  (  ( looking up  )  ( at  ( the_camera_and one  )  )  )  )  )  ( is  (  ( sticking out  ) his_tongue  )  )  ) 	4.4	9745
CONTRADICTION	 ( A_few_men_in_a_competition  ( are  ( running outside  )  )  ) 	 ( A_few_men_in_a_competition  ( are  ( running indoors  )  )  ) 	3.9	717
NEUTRAL	 ( A_person  ( is  ( eating  ( in  ( a restaurant  )  )  )  )  ) 	 ( A_person  ( is  ( making  ( a bed  )  )  )  ) 	1.2	5657
NEUTRAL	 (  ( A  ( race  ( car driver  )  )  )  (  (  ( is  ( standing up  )  ) and  )  (  ( is fiercely  )  (  ( pointing  ( his hand  )  )  ( at  ( the sky  )  )  )  )  )  ) 	 (  (  ( The person  )  ( in  ( the  ( blue jacket  )  )  )  )  ( is  ( wearing  ( a  ( colorful helmet  )  )  )  )  ) 	1.6	6158
ENTAILMENT	 (  ( A girl  )  ( is  ( eating  ( a cupcake  )  )  )  ) 	 (  ( A cupcake  )  ( is  ( being  ( eaten  ( by  ( a girl  )  )  )  )  )  ) 	5	5588
ENTAILMENT	 (  ( A lady  )  ( is  (  ( cutting  ( up  ( some meat  )  )  ) precisely  )  )  ) 	 (  ( Some meat  )  ( is  ( being  (  ( cut  ( into pieces  )  )  ( by  ( a woman  )  )  )  )  )  ) 	4.8	2058
NEUTRAL	 (  (  ( Not  ( a lot  )  ) of_people  )  ( are  ( in  ( an  ( ice  ( skating park  )  )  )  )  )  ) 	 (  ( An  ( ice  ( skating rink  )  )  )  ( placed  ( outdoors  ( is  ( full of_people  )  )  )  )  ) 	3.5	873
ENTAILMENT	 ( The_man  ( is  (  ( hurling knives  ) at_a_tree  )  )  ) 	 ( The_man  ( is  (  ( throwing knives  ) at_a_tree  )  )  ) 	4.6	4066
ENTAILMENT	 ( A_dog  ( is  (  ( running breathlessly  ) on_the_road  )  )  ) 	 ( A_dog  ( is  ( running on_the_road  )  )  ) 	4.5	4054
CONTRADICTION	 ( Nobody  ( is standing_in_the_ocean_and_watching_the_sunset  )  ) 	 (  ( Two people  )  ( are standing_in_the_ocean_and_watching_the_sunset  )  ) 	2.5	6146
NEUTRAL	 (  ( Three men  )  ( are  ( practicing  ( karate outdoors  )  )  )  ) 	 (  (  ( Three boys  )  ( in  ( karate costumes  )  )  )  ( are fighting  )  ) 	3.8	1506
CONTRADICTION	 ( There  ( is  (  ( no boy  ) walking_across_a_bridge  )  )  ) 	 (  ( A boy  )  ( is walking_across_a_bridge  )  ) 	3.7	3222
ENTAILMENT	 (  ( A_young_girl  ( in  ( a bikini  )  )  ) is_jumping_on_the_beach  ) 	 (  ( A_young_girl  ( in  ( swimming suite  )  )  ) is_jumping_on_the_beach  ) 	4.4	8986
NEUTRAL	 (  ( A dog  )  ( is  ( running  ( with  ( a ball  )  )  )  )  ) 	 (  ( The  ( black dog  )  )  ( is  ( carrying  (  ( a  (  (  ( blue and  ) white  ) ball  )  )  ( in  ( its mouth  )  )  )  )  )  ) 	4	9224
NEUTRAL	 (  ( A  ( big fish  )  )  ( is  ( catching  ( a man  )  )  )  ) 	 (  ( A woman  )  ( is  ( deboning  ( a fish  )  )  )  ) 	1.9	3420
NEUTRAL	 (  (  ( Four people  )  ( are  (  ( walking  ( along  (  (  ( a  ( city sidewalk  )  ) and  )  ( the one  )  )  )  )  ( in  ( the green_hat  )  )  )  )  )  ( is  ( phoning someone  )  )  ) 	 (  (  ( A group  )  ( of people  )  )  ( is  (  (  ( walking down  )  (  (  ( the street  ) and  )  ( a person  )  )  )  ( in  (  ( a green_hat  )  ( is  ( on  ( the phone  )  )  )  )  )  )  )  ) 	4.2	9336
CONTRADICTION	 (  ( The man  )  ( is tossing_a_kid_into_the_swimming_pool_that_is_near_the_ocean  )  ) 	 (  ( A man  )  (  ( is n't  ) tossing_a_kid_into_the_swimming_pool_that_is_near_the_ocean  )  ) 	3.5	630
NEUTRAL	 ( Nobody  ( is  ( slicing  ( a tomato  )  )  )  ) 	 (  ( The person  )  ( is  ( slicing  ( a vegetable  )  )  )  ) 	3.1	2544
CONTRADICTION	 ( There  ( is  (  ( no man  ) drawing_a_picture  )  )  ) 	 (  ( A man  )  ( is drawing_a_picture  )  ) 	3.9	4086
ENTAILMENT	 ( A_man  ( is  ( cutting  ( a note  )  )  )  ) 	 ( A_man  ( is  ( cutting  ( a paper  )  )  )  ) 	4.4	4360
ENTAILMENT	 ( Two_white_dogs  (  ( are quickly  ) running_together  )  ) 	 ( Two_white_dogs  ( are running_together  )  ) 	4.6	8714
ENTAILMENT	 (  ( The lady  )  ( is  ( slicing a_tomato  )  )  ) 	 ( Someone  ( is  ( cutting a_tomato  )  )  ) 	4.7	2405
CONTRADICTION	 ( There  ( is  (  ( no woman  ) slicing_a_fish  )  )  ) 	 (  ( A woman  )  ( is slicing_a_fish  )  ) 	2.7	4966
NEUTRAL	 (  ( A snowboarder  )  ( is  (  ( grinding down  )  ( a  ( long  ( concrete rail  )  )  )  )  )  ) 	 (  ( A person  )  ( is  (  ( doing acrobatics  )  ( on  ( a snowboard  )  )  )  )  ) 	3.3	9314
ENTAILMENT	 ( A_man  ( is  (  ( applying a_silencer  )  ( to  ( a gun  )  )  )  )  ) 	 ( A_man  ( is  (  ( fitting a_silencer  )  ( to  ( a pistol  )  )  )  )  ) 	4.8	4734
ENTAILMENT	 ( Two_white_dogs  ( are  ( playing  ( with  ( a_brown_dog_and  ( a  ( tennis ball  )  )  )  )  )  )  ) 	 ( Two_white_dogs  ( are  ( playing  ( with  ( a_brown_dog_and  ( a ball  )  )  )  )  )  ) 	4.7	7889
ENTAILMENT	 (  ( A  ( small guinea_pig  )  )  ( is  (  (  (  ( gnawing and  ) eating  )  (  ( a piece  )  ( of carrot  )  )  )  ( on  ( the floor  )  )  )  )  ) 	 (  ( A guinea_pig  )  ( is  ( devouring  ( a carrot  )  )  )  ) 	4.5	2795
ENTAILMENT	 ( A_man  ( is  ( climbing a_rope  )  )  ) 	 ( A_man  ( is  (  ( climbing up  ) a_rope  )  )  ) 	4.8	4011
ENTAILMENT	 (  ( A bull_dog  )  ( is  ( being  ( brushed  ( by  ( the monkey  )  )  )  )  )  ) 	 (  ( The monkey  )  ( is  ( brushing  ( a bull_dog  )  )  )  ) 	4.8	2604
ENTAILMENT	 (  ( A man  )  ( is  ( dancing  ( on  ( the_ceiling  ( of  ( a room  )  )  )  )  )  )  ) 	 (  ( The man  )  ( is  (  ( dancing upside-down  )  ( on the_ceiling  )  )  )  ) 	4.4	3880
CONTRADICTION	 (  ( A woman  )  (  (  ( is driving_a_car  ) and  )  ( is  ( talking  ( to  ( the_man  ( who  ( is seated_beside_her  )  )  )  )  )  )  )  ) 	 ( There  ( is  (  ( no woman  )  (  ( driving_a_car and  )  ( talking  ( to  ( the_man seated_beside_her  )  )  )  )  )  )  ) 	4.7	3061
ENTAILMENT	 (  (  (  ( A  ( black dog  )  ) and  )  ( a  ( small  (  (  ( white and  ) black  ) dog  )  )  )  )  ( are  (  ( looking up  )  ( at  ( a  ( kitchen countertop  )  )  )  )  )  ) 	 (  (  (  ( A  ( large dog  )  ) and  )  ( a  ( small dog  )  )  )  (  (  ( are  (  ( standing next  )  ( to  ( the  ( kitchen counter  )  )  )  )  ) and  )  ( are investigating  )  )  ) 	4.2	8576
CONTRADICTION	 ( A_woman  ( is  (  (  (  (  ( taking off  ) a_cloak_,_which_is_very_large  ) ,  ) and  )  ( revealing an_extravagant_dress  )  )  )  ) 	 ( A_woman  ( is  (  (  ( putting  ( on  ( a_cloak_,_which_is_very_large ,  )  )  ) and  )  ( concealing an_extravagant_dress  )  )  )  ) 	3.5	592
NEUTRAL	 (  ( A man  )  ( is  (  ( chopping  ( a log  )  ) with_an_axe  )  )  ) 	 (  ( The man  )  ( is  (  ( chopping  ( a  ( tree trunk  )  )  ) with_an_axe  )  )  ) 	4.4	3459
NEUTRAL	 ( A_child  ( is  ( swimming  ( underwater  ( in  ( a pool  )  )  )  )  )  ) 	 ( A_child  ( is  ( smiling  ( at  ( the  ( camera  ( and  ( swimming underwater  )  )  )  )  )  )  )  ) 	4.1	7394
NEUTRAL	 (  ( A man  )  ( is  (  ( doing  ( back flips  )  ) on_a_trampoline  )  )  ) 	 (  ( Several boys  )  ( are  ( jumping on_a_trampoline  )  )  ) 	3.4	4140
NEUTRAL	 (  ( An  ( old ,_topless_woman  )  ) is_covered_in_paint  ) 	 (  ( A  ( young ,_topless_woman  )  ) is_covered_in_paint  ) 	3.8	304
ENTAILMENT	 (  ( A_black_dog  ( is  ( running  ( in  (  ( the_grass and  )  ( its tongue  )  )  )  )  )  )  ( is  ( hanging out  )  )  ) 	 ( A_black_dog  ( is  ( running  ( in the_grass  )  )  )  ) 	4.9	6287
NEUTRAL	 ( A_man  ( is  ( wearing  (  ( a  ( blue shirt  )  )  ( which  (  (  ( has  ( long  (  ( sleeves and  ) jeans  )  )  ) and  )  ( is  (  ( riding a_unicycle  )  ( down  ( a street  )  )  )  )  )  )  )  )  )  ) 	 ( A_man  ( is  (  (  ( wearing  ( a  ( blue  ( checkered shirt  )  )  )  ) and  )  ( riding  ( a_unicycle  ( in  ( the street  )  )  )  )  )  )  ) 	4.3	7319
CONTRADICTION	 (  ( A person  )  ( is cutting_some_ginger  )  ) 	 ( There  ( is  (  ( no person  ) cutting_some_ginger  )  )  ) 	3.8	4816
ENTAILMENT	 ( Swimmers  ( are  ( racing in_a_lake  )  )  ) 	 (  ( Some racers  )  ( are  ( swimming in_a_lake  )  )  ) 	4.3	3733
NEUTRAL	 (  ( A man  )  ( is  ( cutting onions  )  )  ) 	 (  ( A woman  )  ( is  ( cutting  ( an onion  )  )  )  ) 	3.5	5047
NEUTRAL	 (  ( A man  )  ( is  ( running on_the_road  )  )  ) 	 (  ( A dog  )  ( is  (  ( running breathlessly  ) on_the_road  )  )  ) 	2.6	4060
ENTAILMENT	 (  ( A person  )  ( is  ( peeling  ( a potato  )  )  )  ) 	 (  ( A potato  )  ( is  ( being  ( peeled  ( by  ( a person  )  )  )  )  )  ) 	5	5799
ENTAILMENT	 (  (  (  (  ( A guinea_pig  ) ,  )  ( which  ( is small  )  )  ) ,  ) is_gnawing_and_eating_a_piece_of_carrot_on_the_floor  ) 	 (  ( A  ( small guinea_pig  )  ) is_gnawing_and_eating_a_piece_of_carrot_on_the_floor  ) 	4.8	2791
ENTAILMENT	 (  ( A rollerblader  )  ( is  ( performing  (  ( a trick  ) on_a_ramp  )  )  )  ) 	 (  ( A trick  )  ( is  ( being  ( performed  ( by  (  ( a rollerblader  ) on_a_ramp  )  )  )  )  )  ) 	5	7064
CONTRADICTION	 ( A_man  ( is playing_a_flute  )  ) 	 ( A_man  (  ( is not  ) playing_a_flute  )  ) 	4.2	5454
ENTAILMENT	 (  (  ( A girl  ) in_blue  )  ( is  (  ( sliding down  )  ( a  ( green slide  )  )  )  )  ) 	 (  (  ( The  ( young girl  )  ) in_blue  )  ( is  ( enjoying  ( a slide  )  )  )  ) 	4.3	8383
NEUTRAL	 (  ( A_group  ( of scouts  )  )  ( are  ( hiking through_the_grass  )  )  ) 	 (  ( A_group  ( of explorers  )  )  ( are  ( walking through_the_grass  )  )  ) 	4.1	402
NEUTRAL	 (  ( A family  )  ( is  (  ( buying something  )  ( at  ( the  ( vending machine  )  )  )  )  )  ) 	 (  (  ( A man  )  ( in  ( a suit  )  )  )  ( is  ( standing  ( at  ( a  (  ( microphone and  ) singing  )  )  )  )  )  ) 	1	9843
NEUTRAL	 (  ( A tower  )  ( is  ( being  ( looked  ( at  ( by  ( a  ( blonde lady  )  )  )  )  )  )  )  ) 	 (  ( A woman  )  ( is  ( looking  ( at  (  ( the view  )  ( of  ( a city  )  )  )  )  )  )  ) 	3.3	7363
CONTRADICTION	 (  ( Two  ( bmx bikers  )  )  ( are jumping_dirt_ramps_in_front_of_a_body_of_water  )  ) 	 ( There  ( is  (  ( no  ( bmx biker  )  ) jumping_dirt_ramps_in_front_of_a_body_of_water  )  )  ) 	4.4	8326
NEUTRAL	 ( A_large_green_ball  ( is  ( hitting a_potato  )  )  ) 	 ( A_large_green_ball  ( is  ( missing a_potato  )  )  ) 	3.5	2968
ENTAILMENT	 (  ( Some corndogs  )  ( are  ( being  ( eaten  ( by  (  ( two toddlers  )  ( who  ( are in_a_wagon_,_which_is_really_small  )  )  )  )  )  )  )  ) 	 (  ( Two toddlers  )  ( are  (  ( eating corndogs  ) in_a_wagon_,_which_is_really_small  )  )  ) 	4.8	947
ENTAILMENT	 ( A_man  ( is  ( standing  ( on  ( a_boat  ( in  ( front  ( of  ( the_sunset  ( near  ( a flag  )  )  )  )  )  )  )  )  )  )  ) 	 ( A_man  ( is  ( on  ( a_boat  ( in  ( front  ( of the_sunset  )  )  )  )  )  )  ) 	4.1	6219
NEUTRAL	 (  (  ( The  ( white reindeer  )  )  ( wearing  ( dog ears  )  )  )  ( is  ( near  ( a  ( brown reindeer  )  )  )  )  ) 	 (  ( A  ( white dog  )  )  ( is  ( wearing  (  ( a  ( Christmas reindeer  )  )  (  ( headband and  )  ( is  ( playing  ( with  (  ( a  ( brown dog  )  )  ( in  ( the grass  )  )  )  )  )  )  )  )  )  )  ) 	2.2	6344
NEUTRAL	 (  (  ( A man  )  ( in green  )  )  ( is  ( kicking  (  (  (  ( a soccer_ball  ) and  )  (  ( a man  )  ( in  (  ( purple and  ) white  )  )  )  )  ( is  ( rising up  )  )  )  )  )  ) 	 (  ( The players  )  ( is  ( maneuvering  ( for  ( the soccer_ball  )  )  )  )  ) 	3.5	9380
NEUTRAL	 (  (  (  (  ( Two  ( large dogs  )  ) ,  )  (  (  ( a  ( light  ( colored one  )  )  ) and  )  ( a  ( dark one  )  )  )  ) ,  )  ( are  ( sleeping  ( on  ( a  ( snowy terrain  )  )  )  )  )  ) 	 (  ( Two dogs  )  ( are  ( leaping  ( through  ( snowy  (  ( grass and  ) rocks  )  )  )  )  )  ) 	2.4	8375
NEUTRAL	 (  ( A flute  )  (  ( is n't  )  ( being  ( played  ( by  ( a man  )  )  )  )  )  ) 	 (  ( A man  )  ( is  ( playing  (  ( the guitar  ) loudly  )  )  )  ) 	2.4	1811
ENTAILMENT	 (  (  (  (  (  (  ( The girl  ) ,  )  ( who  ( is little  )  )  ) ,  ) is_swinging  ) and  )  ( the_woman  ( is  ( standing behind  )  )  )  ) 	 (  (  (  ( The  ( little girl  )  ) is_swinging  ) and  )  ( the_woman  ( is  ( standing  ( behind her  )  )  )  )  ) 	4.9	7445
ENTAILMENT	 (  ( Three women  ) are_dancing  ) 	 (  ( A  ( few women  )  ) are_dancing  ) 	4.6	2566
CONTRADICTION	 (  ( A man  )  ( is playing_a_wooden_flute  )  ) 	 ( There  ( is  (  ( no man  ) playing_a_wooden_flute  )  )  ) 	3.7	4155
NEUTRAL	 ( A_man  (  (  ( is  ( standing near_a_bike  )  ) and  )  ( is  ( writing  ( on  ( a  ( piece paper  )  )  )  )  )  )  ) 	 ( A_man  (  (  ( is  ( sitting near_a_bike  )  ) and  )  ( is  ( writing  ( a note  )  )  )  )  ) 	3.6	394
ENTAILMENT	 (  ( A_child  ( in  ( light  ( colored clothing  )  )  )  ) is_standing_with_his_arms_extended_outward  ) 	 (  ( A_child  ( in  ( clothing  ( which  ( is  ( light colored  )  )  )  )  )  ) is_standing_with_his_arms_extended_outward  ) 	5	7018
ENTAILMENT	 ( The_man  ( is  ( lifting barbells  )  )  ) 	 ( The_man  ( is  ( lifting weights  )  )  ) 	4.3	2898
NEUTRAL	 ( A_woman  ( is  ( taking  (  ( a mixture  )  ( out  ( of  ( a bowl  )  )  )  )  )  )  ) 	 ( A_woman  ( is  ( preparing  (  ( an egg  )  ( in  ( a skillet  )  )  )  )  )  ) 	2.7	2822
NEUTRAL	 (  ( A boy  )  ( is  (  ( filling  ( a pitcher  )  )  ( with water  )  )  )  ) 	 (  ( A woman  )  ( is  (  ( collecting  ( the water  )  )  ( from  (  ( a tap  )  ( in  ( a mug  )  )  )  )  )  )  ) 	2.7	3661
ENTAILMENT	 ( A_man  ( is  ( practicing the_drum  )  )  ) 	 ( A_man  ( is  ( playing the_drum  )  )  ) 	4.6	3586
NEUTRAL	 (  ( A waterfall  )  ( is  ( flowing  ( into  ( a  ( shallow pool  )  )  )  )  )  ) 	 (  ( The people  )  ( are  (  ( walking  ( on  ( the road  )  )  )  ( beside  ( a  ( beautiful waterfall  )  )  )  )  )  ) 	2.3	6394
ENTAILMENT	 ( A_man_and_a_woman  ( are  (  ( walking together  )  ( through  ( the woods  )  )  )  )  ) 	 ( A_man_and_a_woman  ( are  ( hiking  ( through  ( a  ( wooded area  )  )  )  )  )  ) 	4.3	1190
NEUTRAL	 (  ( A  ( white man  )  ) is_walking_next_to_a_building_in_a_big_city  ) 	 (  ( A  ( black man  )  ) is_walking_next_to_a_building_in_a_big_city  ) 	3.3	8389
CONTRADICTION	 (  ( The lady  )  ( is  ( slicing a_tomato  )  )  ) 	 ( There  (  ( is  ( no one  )  )  ( cutting a_tomato  )  )  ) 	3	2404
NEUTRAL	 ( A_man  ( is  ( flooring  ( a  ( sitting  ( guitar player  )  )  )  )  )  ) 	 ( A_man  ( is  (  (  ( sitting  ( on  (  ( the floor  )  ( in  ( a room  )  )  )  )  ) and  )  ( strumming  ( a guitar  )  )  )  )  ) 	2.3	3107
NEUTRAL	 (  ( Three  ( young men  )  )  (  ( are furiously  )  (  (  (  ( running ,  ) jumping  ) and  )  ( kicking  ( near  ( a  ( vending machine  )  )  )  )  )  )  ) 	 (  ( Three men  )  ( are  (  ( jumping off  )  ( a wall  )  )  )  ) 	2.5	1470
NEUTRAL	 ( A_dog  ( is  ( leaving  ( a_ball  ( in  ( the dirt  )  )  )  )  )  ) 	 ( A_dog  ( is  (  ( chasing a_ball  )  ( through dirt  )  )  )  ) 	3.7	5955
NEUTRAL	 ( A_group_of_people  ( are marching  )  ) 	 ( A_group_of_people  ( are  ( dancing  ( in  ( a show  )  )  )  )  ) 	2.3	5540
NEUTRAL	 (  (  ( The microphone  )  ( in  ( front  ( of  ( the  ( talking parrot  )  )  )  )  )  )  ( is  ( being muted  )  )  ) 	 (  ( The parrot  )  ( is  ( talking  ( into  ( the microphone  )  )  )  )  ) 	4	1861
ENTAILMENT	 ( A_woman  ( is  ( using  ( a_machine  ( made  ( for sewing  )  )  )  )  )  ) 	 ( A_woman  ( is  ( sewing  ( with a_machine  )  )  )  ) 	4.8	2166
CONTRADICTION	 (  (  ( A girl  )  ( in white  )  )  ( is dancing  )  ) 	 ( There  ( is  (  ( no girl  )  ( in  ( white dancing  )  )  )  )  ) 	4.2	219
ENTAILMENT	 (  ( The woman  )  ( is  ( slicing  ( cooked octopus  )  )  )  ) 	 (  ( A woman  )  ( is  (  ( chopping up  )  ( an octopus  )  )  )  ) 	4.4	4288
NEUTRAL	 (  ( A boy  )  ( is  ( playing  ( a piano  )  )  )  ) 	 ( There  ( is  ( no  ( man  (  (  ( singing and  ) playing  )  ( a guitar  )  )  )  )  )  ) 	2.2	3996
NEUTRAL	 (  ( A  ( snow ball  )  )  ( is  ( being  ( made  ( by  ( a child  )  )  )  )  )  ) 	 (  (  ( A kid  )  ( in orange  )  )  ( is  (  ( playing outside  )  ( with  ( a snowball  )  )  )  )  ) 	3.3	6729
ENTAILMENT	 ( A_man  ( is  ( rowing  ( a canoe  )  )  )  ) 	 ( A_man  ( is  ( rowing  ( a boat  )  )  )  ) 	4.2	5806
NEUTRAL	 (  ( The elephant  )  ( is  ( being  ( ridden  ( by  ( the woman  )  )  )  )  )  ) 	 (  ( A person  )  ( is  ( slicing  ( some mushrooms  )  )  )  ) 	1	9763
ENTAILMENT	 ( A_woman  ( is  ( slicing  (  ( a pepper  )  ( which  ( is green  )  )  )  )  )  ) 	 ( A_woman  ( is  ( slicing  ( a  ( green pepper  )  )  )  )  ) 	4.8	3812
CONTRADICTION	 ( There  ( is  (  ( no boy  )  ( checking a_calendar  )  )  )  ) 	 (  ( A boy  )  ( is  ( looking  ( at a_calendar  )  )  )  ) 	3.9	3941
CONTRADICTION	 (  ( A man  )  ( is  (  ( cutting  ( a  ( thick rope  )  )  ) with_a_sword  )  )  ) 	 ( There  ( is  (  ( no man  )  (  ( cutting  ( a rope  )  ) with_a_sword  )  )  )  ) 	3.6	4650
NEUTRAL	 (  (  ( A group  )  ( of people  )  )  ( is  (  (  ( holding drinks  ) and  )  ( pointing  ( at  ( the camera  )  )  )  )  )  ) 	 (  ( A man  )  ( is  ( playing  ( an  ( electric guitar  )  )  )  )  ) 	1	9788
NEUTRAL	 (  ( The man  ) is_sprinkling_cheese_on_the_pizza  ) 	 (  ( The cook  ) is_sprinkling_cheese_on_the_pizza  ) 	4	5698
ENTAILMENT	 (  ( A  ( young mother  )  )  ( is  ( playing  ( with  (  ( her boy  )  ( in the_park  )  )  )  )  )  ) 	 (  ( A  ( young boy  )  )  ( is  ( playing  ( in  ( the_park  ( with  ( his mother  )  )  )  )  )  )  ) 	4.5	7677
NEUTRAL	 (  (  ( A boy  )  ( in  ( a  ( white t-shirt  )  )  )  )  ( is  ( splashing  ( in  ( shallow water  )  )  )  )  ) 	 (  ( A girl  )  ( is  ( running  ( through  (  ( the water  )  ( at  ( the beach  )  )  )  )  )  )  ) 	2.3	7950
NEUTRAL	 ( A_woman  ( is  (  ( putting away  ) carrots  )  )  ) 	 ( A_woman  ( is  ( coating  (  ( a pork  ) chop  )  )  )  ) 	1.7	3291
ENTAILMENT	 (  ( Two  ( sumo wrestlers  )  ) are_fighting  ) 	 (  ( Two  ( sumo ringers  )  ) are_fighting  ) 	4	5113
ENTAILMENT	 ( A_surfer  ( is  ( surfing  ( a  ( huge wave  )  )  )  )  ) 	 ( A_surfer  ( is  ( surfing  ( a  ( big wave  )  )  )  )  ) 	4.9	9359
NEUTRAL	 (  (  ( A crowd  )  ( of people  )  )  ( is  ( near  ( the water  )  )  )  ) 	 (  (  (  (  ( A group  )  ( of  ( children  ( in uniforms  )  )  )  )  ( is  ( standing  ( at  ( a gate  )  )  )  )  ) and  )  ( there  (  ( is  ( no one  )  )  ( kissing  ( the mother  )  )  )  )  ) 	1.3	317
NEUTRAL	 (  ( The woman  )  (  (  (  ( is not  ) wearing_a_red_jacket  ) and  )  (  ( is not  )  ( holding  (  ( a glass  )  ( in  ( front  ( of  (  ( the man  )  ( in  ( a  ( white t-shirt  )  )  )  )  )  )  )  )  )  )  )  ) 	 (  ( A person  )  ( is  (  ( wearing_a_red_jacket and  )  ( holding  ( a beer  )  )  )  )  ) 	2.4	7501
NEUTRAL	 ( A_man  ( is  ( slicing  ( a tomato  )  )  )  ) 	 ( A_man  ( is  ( slicing  ( a bun  )  )  )  ) 	3.6	1232
NEUTRAL	 (  ( A_young_girl  ( in a_blue_shirt  )  )  ( is  (  ( walking_on_the_sidewalk and  )  ( holding_up a_pink_sign  )  )  )  ) 	 (  ( A_young_girl  ( by a_pink_sign  )  )  (  (  ( is  ( holding_up a_blue_shirt  )  ) and  )  ( is walking_on_the_sidewalk  )  )  ) 	3.4	6005
NEUTRAL	 ( A_man  ( is scared  )  ) 	 ( A_man  ( is screaming  )  ) 	3.6	1396
ENTAILMENT	 (  ( A  ( young girl  )  )  ( is_wearing_a_blue_patterned_swim_suit_,_a_black_and_yellow_swim_cap_and  ( has  ( blue_swimming_goggles  ( on  ( her head  )  )  )  )  )  ) 	 (  ( A  ( little girl  )  )  ( is_wearing_a_blue_patterned_swim_suit_,_a_black_and_yellow_swim_cap_and  ( has  ( blue_swimming_goggles  ( on  ( the head  )  )  )  )  )  ) 	4.8	8057
NEUTRAL	 ( Two_men  ( are  ( outside a_cattle_pen  )  )  ) 	 ( Two_men  ( are  ( fighting  ( in a_cattle_pen  )  )  )  ) 	3	2936
NEUTRAL	 ( Two_dogs  ( are  ( running  ( through water  )  )  )  ) 	 ( Two_dogs  ( are  ( running  ( through  ( high grass  )  )  )  )  ) 	3.335	8220
ENTAILMENT	 (  ( A_man  ( in  ( a  ( black jersey  )  )  )  ) is_standing_in_a_gym  ) 	 ( A_man  (  ( is_standing_in_a_gym and  )  ( is  ( wearing  ( a jersey  )  )  )  )  ) 	4.5	9136
NEUTRAL	 (  ( One man  )  ( is  (  ( climbing  ( a cliff  )  )  ( with  ( a rope  )  )  )  )  ) 	 (  (  ( A person  )  ( with  ( pink  ( climbing gear  )  )  )  )  ( roped  ( the rock  )  )  ) 	3.3	647
